age,income_lakh,credit_score,loan_amount_lakh,existing_loans,approved
47.0,8.28,709.0,13.7,0.0,1
47.0,13.25,745.0,7.61,3.0,1
58.0,4.26,636.0,8.18,2.0,1
38.0,8.58,764.0,5.65,0.0,0
25.0,5.86,621.0,14.91,1.0,1
61.0,11.97,683.0,20.92,2.0,0
43.0,5.61,402.0,12.93,1.0,0
49.0,4.53,720.0,12.28,0.0,0
25.0,13.1,668.0,2.91,1.0,0
26.0,7.84,646.0,7.44,0.0,1
50.0,10.82,674.0,13.93,0.0,1
54.0,7.93,,5.79,2.0,0
48.0,1.5,532.0,,4.0,0
55.0,5.92,671.0,14.65,5.0,1
22.0,3.25,531.0,13.29,0.0,0
36.0,2.55,572.0,11.83,2.0,0
57.0,9.43,671.0,7.25,2.0,1
21.0,7.67,710.0,3.81,0.0,1
62.0,5.13,654.0,8.55,0.0,1
46.0,10.69,660.0,22.22,1.0,0
23.0,8.57,796.0,11.67,1.0,1
51.0,9.36,490.0,10.61,0.0,0
30.0,1.5,607.0,4.53,0.0,0
32.0,2.34,587.0,15.5,0.0,1
58.0,5.3,680.0,10.14,1.0,0
64.0,5.99,758.0,13.01,1.0,1
45.0,14.32,569.0,10.55,1.0,1
56.0,6.5,770.0,2.74,2.0,0
25.0,7.93,661.0,11.32,1.0,0
25.0,,650.0,10.15,,0
61.0,5.05,667.0,15.24,1.0,0
48.0,4.63,519.0,12.76,1.0,0
48.0,13.8,710.0,19.82,2.0,0
22.0,,630.0,5.7,0.0,1
51.0,4.21,755.0,9.0,2.0,0
38.0,7.36,1131.0,16.16,1.0,0
23.0,-2.32,724.0,14.09,0.0,1
25.0,,621.0,14.91,1.0,1
49.0,7.01,640.0,14.61,1.0,0
24.0,11.01,421.0,3.7,0.0,1
49.0,7.61,476.0,8.07,1.0,0
40.0,-3.38,606.0,10.37,0.0,1
30.0,6.99,676.0,17.15,2.0,0
53.0,9.53,531.0,12.42,0.0,1
-1.0,4.0,672.0,3.38,2.0,0
44.0,9.0,747.0,8.01,1.0,0
63.0,6.11,718.0,10.62,3.0,0
47.0,,575.0,1.0,1.0,0
25.0,9.22,,15.06,0.0,1
26.0,12.04,664.0,16.47,,0
34.0,9.94,569.0,15.37,1.0,1
64.0,14.35,589.0,18.97,0.0,0
28.0,10.43,603.0,1.0,0.0,1
63.0,7.41,604.0,10.55,3.0,0
21.0,8.69,900.0,6.21,0.0,1
59.0,7.07,805.0,15.23,0.0,0
53.0,6.31,691.0,6.25,0.0,1
62.0,15.07,592.0,,,0
61.0,8.52,599.0,1.0,0.0,0
25.0,10.03,781.0,10.94,0.0,1
52.0,9.61,601.0,,0.0,0
,11.12,609.0,16.4,3.0,0
48.0,5.43,646.0,20.21,1.0,1
60.0,2.94,519.0,1.12,0.0,0
32.0,8.47,589.0,17.19,3.0,0
36.0,6.76,616.0,7.12,1.0,0
34.0,4.66,695.0,4.26,,0
36.0,2.05,698.0,,2.0,0
43.0,10.95,658.0,4.03,0.0,0
51.0,9.91,678.0,9.81,0.0,0
26.0,7.03,,8.31,3.0,1
59.0,12.19,569.0,12.53,1.0,0
46.0,9.09,648.0,1.0,1.0,1
36.0,2.14,,28.11,1.0,0
51.0,7.26,706.0,16.81,1.0,0
64.0,8.4,735.0,15.01,,0
62.0,8.46,561.0,24.62,0.0,0
37.0,9.56,703.0,19.88,1.0,0
35.0,1.59,670.0,6.26,1.0,0
47.0,13.6,,9.11,0.0,0
24.0,5.89,611.0,6.02,2.0,0
55.0,12.06,678.0,3.87,1.0,0
52.0,17.09,569.0,5.44,2.0,0
50.0,9.48,666.0,10.9,1.0,1
55.0,5.62,719.0,9.92,0.0,1
57.0,8.14,626.0,2.61,0.0,0
51.0,7.75,622.0,14.13,2.0,0
40.0,3.85,647.0,5.45,0.0,0
36.0,3.36,750.0,1.0,1.0,0
22.0,7.53,674.0,2.34,1.0,1
28.0,10.01,664.0,7.45,1.0,1
44.0,6.85,608.0,17.2,,1
64.0,,732.0,9.74,1.0,0
35.0,1.5,848.0,13.38,1.0,0
43.0,5.65,743.0,1.0,1.0,1
23.0,17.79,-21.0,24.15,0.0,1
37.0,9.72,733.0,14.65,1.0,0
61.0,7.01,710.0,15.04,2.0,0
54.0,9.73,727.0,3.55,3.0,0
30.0,10.76,733.0,1.04,0.0,1
54.0,9.63,1135.0,1.12,1.0,0
38.0,8.86,619.0,9.78,2.0,1
35.0,7.68,742.0,11.63,1.0,1
31.0,11.92,517.0,,2.0,0
50.0,5.68,664.0,7.21,0.0,1
56.0,5.91,613.0,15.36,3.0,0
26.0,10.57,678.0,6.46,1.0,1
62.0,7.31,665.0,8.04,1.0,0
22.0,7.24,767.0,15.44,1.0,1
62.0,5.07,528.0,27.03,0.0,1
46.0,5.92,583.0,10.46,0.0,0
43.0,11.64,817.0,20.1,0.0,1
62.0,2.58,507.0,,-2.0,0
24.0,7.74,561.0,7.8,2.0,0
21.0,10.85,,17.94,1.0,1
43.0,9.49,654.0,17.94,0.0,0
34.0,10.41,708.0,,1.0,0
37.0,9.31,569.0,1.62,2.0,1
39.0,5.54,433.0,3.14,1.0,1
53.0,6.8,712.0,3.35,3.0,1
30.0,10.19,620.0,,2.0,0
48.0,8.68,576.0,7.44,2.0,0
50.0,7.57,534.0,5.32,0.0,0
,9.23,872.0,12.05,0.0,1
32.0,9.62,,1.0,1.0,0
44.0,5.48,661.0,16.95,2.0,0
53.0,2.2,682.0,6.43,1.0,0
55.0,7.01,551.0,9.27,1.0,0
28.0,11.06,683.0,11.65,0.0,0
31.0,4.83,577.0,11.12,,0
55.0,6.52,1102.0,9.4,2.0,1
56.0,10.5,723.0,1.0,,1
27.0,11.43,716.0,5.95,2.0,1
59.0,12.03,857.0,9.87,1.0,1
53.0,7.64,655.0,14.28,1.0,0
53.0,7.13,646.0,1.0,1.0,0
61.0,8.16,748.0,15.0,0.0,0
43.0,15.7,671.0,3.88,0.0,0
26.0,10.97,677.0,7.08,,0
,3.25,752.0,9.02,0.0,1
61.0,4.83,575.0,9.7,0.0,0
64.0,2.64,614.0,23.73,2.0,0
63.0,7.49,554.0,6.53,1.0,1
46.0,,802.0,16.91,1.0,1
55.0,1.5,771.0,1.58,0.0,0
48.0,5.99,591.0,1.34,1.0,1
45.0,4.27,490.0,17.3,0.0,0
41.0,8.54,,18.16,2.0,1
42.0,3.9,731.0,4.67,0.0,1
48.0,12.26,593.0,9.29,2.0,0
51.0,7.19,680.0,15.36,0.0,1
,11.02,504.0,17.7,2.0,1
60.0,11.32,712.0,14.82,3.0,1
58.0,9.12,560.0,10.11,2.0,0
59.0,14.81,669.0,8.16,0.0,1
50.0,6.37,615.0,17.56,1.0,0
33.0,13.91,621.0,15.68,2.0,1
39.0,5.1,590.0,9.65,1.0,0
48.0,9.19,580.0,14.66,1.0,0
31.0,9.17,684.0,14.55,1.0,1
63.0,10.34,595.0,1.46,3.0,1
55.0,6.11,618.0,19.61,3.0,0
55.0,7.17,581.0,21.32,1.0,0
53.0,11.54,,6.78,1.0,0
22.0,5.67,624.0,10.73,2.0,1
50.0,107.10813281781039,667.0,7.99,1.0,1
42.0,11.76,611.0,20.99,0.0,1
50.0,7.07,789.0,10.57,1.0,0
31.0,12.68,522.0,13.85,0.0,1
23.0,1.5,640.0,9.07,1.0,0
41.0,12.22,667.0,11.79,1.0,0
30.0,16.63,534.0,5.3,0.0,1
64.0,10.39,787.0,1.0,1.0,0
41.0,2.2,543.0,13.63,,0
45.0,10.66,770.0,10.68,1.0,1
57.0,3.84,669.0,22.98,0.0,0
32.0,7.62,731.0,8.61,2.0,0
35.0,9.79,685.0,9.51,1.0,1
61.0,8.72,711.0,25.54,0.0,0
,7.54,633.0,18.36,0.0,0
32.0,9.31,616.0,10.39,1.0,1
34.0,12.94,586.0,14.66,3.0,1
50.0,10.76,797.0,9.98,1.0,0
24.0,9.44,663.0,9.49,2.0,0
42.0,7.3,638.0,14.83,0.0,2
40.0,9.34,681.0,5.88,1.0,0
31.0,4.83,578.0,16.73,1.0,0
52.0,8.73,,7.75,1.0,1
58.0,7.59,736.0,18.49,1.0,0
,,769.0,18.58,0.0,0
22.0,8.62,672.0,7.3,0.0,1
22.0,,745.0,1.0,0.0,0
64.0,8.52,729.0,13.09,1.0,1
57.0,4.28,721.0,16.75,1.0,0
33.0,12.07,580.0,12.34,4.0,1
37.0,7.97,697.0,12.46,0.0,1
26.0,12.35,437.0,18.71,1.0,0
60.0,7.83,689.0,1.65,2.0,1
26.0,9.11,700.0,13.6,2.0,1
24.0,1.5,682.0,16.78,0.0,0
56.0,8.96,646.0,1.0,0.0,1
55.0,5.12,492.0,12.2,2.0,0
22.0,4.57,619.0,6.28,0.0,0
60.0,9.72,704.0,5.53,2.0,0
21.0,12.39,585.0,22.57,2.0,1
45.0,8.85,648.0,5.41,0.0,0
22.0,9.5,701.0,,1.0,1
37.0,6.86,1091.0,18.52,2.0,1
47.0,9.76,669.0,23.62,4.0,1
34.0,12.15,542.0,8.64,2.0,0
22.0,9.47,598.0,,1.0,1
60.0,2.8,642.0,6.74,0.0,0
60.0,10.44,518.0,13.0,2.0,0
50.0,9.28,705.0,11.55,0.0,1
51.0,11.26,795.0,13.05,0.0,1
29.0,-4.63,731.0,9.35,1.0,0
41.0,7.42,790.0,7.77,0.0,1
48.0,7.25,634.0,8.61,0.0,1
21.0,14.49,554.0,17.65,0.0,1
34.0,7.08,851.0,3.56,1.0,1
57.0,1.5,768.0,14.52,1.0,0
63.0,1.5,660.0,21.77,1.0,0
23.0,17.79,,24.15,0.0,1
32.0,7.22,789.0,6.94,1.0,0
40.0,10.98,798.0,17.46,2.0,1
61.0,16.21,607.0,13.56,0.0,0
25.0,9.78,736.0,8.21,0.0,1
35.0,6.4,544.0,16.06,3.0,0
22.0,13.96,740.0,11.27,1.0,1
52.0,13.66,792.0,18.29,1.0,0
35.0,2.55,761.0,15.12,0.0,1
24.0,5.06,623.0,8.03,1.0,1
60.0,,663.0,13.36,1.0,1
27.0,10.38,691.0,11.8,0.0,0
44.0,9.59,662.0,12.22,1.0,0
59.0,9.29,709.0,1.0,0.0,1
53.0,12.75,654.0,16.84,2.0,0
39.0,8.1,638.0,15.31,0.0,0
24.0,7.73,580.0,9.75,0.0,0
28.0,11.81,725.0,10.53,0.0,1
60.0,7.56,578.0,,1.0,0
58.0,8.31,553.0,15.64,0.0,0
47.0,2.32,761.0,14.74,1.0,0
41.0,10.71,498.0,25.6,2.0,0
53.0,6.24,670.0,25.59,2.0,0
25.0,7.54,761.0,16.87,1.0,1
25.0,9.29,,11.95,1.0,1
29.0,10.56,426.0,6.83,1.0,1
44.0,5.48,586.0,8.8,0.0,0
53.0,12.46,644.0,12.66,1.0,1
36.0,6.63,625.0,,1.0,1
39.0,9.83,,13.66,2.0,1
56.0,14.01,725.0,18.73,0.0,1
30.0,11.04,671.0,12.05,1.0,1
21.0,9.86,630.0,14.32,1.0,0
34.0,11.37,604.0,10.81,0.0,1
9.0,9.23,528.0,6.4,1.0,1
57.0,9.34,697.0,16.14,0.0,1
49.0,15.97,752.0,12.11,1.0,1
24.0,7.83,688.0,14.29,4.0,0
44.0,7.94,660.0,10.65,2.0,0
23.0,,671.0,11.21,1.0,1
26.0,9.23,721.0,14.87,0.0,1
62.0,6.43,586.0,10.21,1.0,0
122.0,1.5,682.0,16.25,0.0,0
57.0,5.22,881.0,2.33,0.0,0
52.0,8.4,716.0,16.74,3.0,1
37.0,10.01,552.0,5.9,2.0,1
,,713.0,9.76,1.0,1
30.0,9.06,795.0,12.66,2.0,1
46.0,4.66,744.0,11.45,3.0,0
61.0,1.5,746.0,16.18,0.0,0
54.0,6.62,789.0,12.77,1.0,0
41.0,,595.0,20.7,1.0,1
35.0,-3.5,487.0,11.75,1.0,0
26.0,19.09,496.0,10.42,0.0,1
47.0,9.7,658.0,5.51,0.0,1
29.0,11.74,612.0,,1.0,0
38.0,11.49,715.0,11.36,1.0,1
57.0,2.28,710.0,9.49,0.0,0
60.0,8.3,713.0,11.22,0.0,1
52.0,9.27,669.0,7.27,1.0,1
28.0,12.91,681.0,16.71,0.0,1
32.0,13.42,794.0,17.14,0.0,0
53.0,6.36,676.0,20.09,0.0,0
25.0,7.25,621.0,11.77,2.0,1
27.0,8.09,622.0,13.67,0.0,1
41.0,8.71,558.0,10.95,1.0,0
56.0,7.66,689.0,12.23,3.0,0
52.0,7.79,718.0,19.11,0.0,0
28.0,4.34,730.0,7.14,0.0,0
25.0,7.47,721.0,8.25,0.0,1
60.0,11.18,759.0,14.03,2.0,0
47.0,10.83,504.0,13.07,2.0,1
36.0,10.48,612.0,12.66,1.0,1
36.0,5.32,709.0,19.99,3.0,1
22.0,11.83,694.0,9.99,1.0,0
63.0,10.94,642.0,7.8,2.0,1
53.0,12.43,677.0,15.33,0.0,0
46.0,5.89,682.0,7.41,,0
57.0,11.51,596.0,13.3,2.0,0
30.0,10.76,733.0,1.04,0.0,1
21.0,6.96,626.0,5.96,0.0,1
39.0,6.37,723.0,20.24,3.0,0
42.0,8.29,589.0,18.55,0.0,1
10.0,4.08,672.0,15.76,4.0,0
33.0,10.02,727.0,242.14987148771866,1.0,0
42.0,13.17,698.0,13.88,3.0,0
23.0,7.4,618.0,18.69,0.0,1
56.0,5.12,493.0,,2.0,0
32.0,13.85,581.0,11.03,4.0,0
57.0,9.06,709.0,14.21,2.0,1
26.0,6.56,,8.27,0.0,1
27.0,10.09,745.0,12.36,1.0,1
49.0,9.33,612.0,21.89,1.0,0
56.0,3.67,630.0,10.06,1.0,1
64.0,10.3,414.0,12.18,3.0,0
51.0,,539.0,11.44,0.0,0
21.0,7.95,558.0,14.7,0.0,1
50.0,12.57,720.0,7.11,0.0,0
,3.47,674.0,8.94,,0
53.0,7.09,518.0,14.56,0.0,0
42.0,3.29,736.0,2.43,2.0,1
45.0,9.25,423.0,16.53,3.0,1
29.0,16.04,632.0,18.07,1.0,1
63.0,9.2,553.0,,0.0,0
49.0,8.5,345.0,15.38,0.0,0
38.0,14.04,850.0,18.27,2.0,1
29.0,9.96,593.0,26.58,1.0,0
40.0,8.8,572.0,12.12,1.0,0
56.0,8.27,805.0,7.4,1.0,1
42.0,6.7,823.0,22.16,1.0,0
55.0,3.91,737.0,10.14,0.0,0
34.0,5.0,630.0,8.51,1.0,0
38.0,5.8,509.0,16.94,5.0,0
46.0,10.69,802.0,18.25,2.0,1
53.0,6.77,,5.56,2.0,1
25.0,14.7,644.0,206.83235693268523,1.0,1
23.0,3.99,768.0,5.79,0.0,0
48.0,13.02,728.0,4.79,1.0,1
32.0,3.73,804.0,8.37,0.0,1
41.0,9.35,451.0,18.01,0.0,1
62.0,6.71,540.0,16.54,2.0,0
30.0,,684.0,24.82,0.0,0
47.0,7.72,481.0,,1.0,0
11.0,,675.0,21.35,2.0,1
39.0,7.93,600.0,11.85,1.0,1
63.0,11.32,581.0,10.86,1.0,0
50.0,11.21,598.0,23.93,0.0,0
35.0,7.08,627.0,5.42,0.0,0
28.0,3.95,666.0,16.06,0.0,0
44.0,7.92,690.0,19.85,1.0,1
32.0,8.54,681.0,19.16,0.0,1
35.0,7.35,513.0,19.43,2.0,0
42.0,9.36,654.0,12.16,1.0,0
50.0,9.14,641.0,24.07,1.0,0
21.0,9.94,530.0,20.23,,0
31.0,6.05,704.0,8.27,1.0,1
44.0,5.72,745.0,7.07,3.0,1
193.0,10.18,745.0,9.59,1.0,0
30.0,10.63,622.0,14.47,2.0,1
60.0,13.56,651.0,8.89,0.0,1
42.0,11.88,603.0,6.0,1.0,0
54.0,10.2,516.0,19.98,0.0,0
40.0,,727.0,5.82,2.0,1
58.0,,668.0,9.7,,0
47.0,6.07,759.0,13.25,1.0,0
60.0,8.63,853.0,12.23,2.0,1
41.0,6.64,589.0,,1.0,0
31.0,2.32,785.0,26.4,2.0,0
,13.36,630.0,13.73,2.0,1
29.0,7.98,616.0,14.03,1.0,0
,2.35,484.0,13.92,1.0,0
46.0,9.64,678.0,9.19,3.0,1
27.0,7.65,722.0,7.17,0.0,0
60.0,10.17,540.0,26.11,0.0,0
41.0,1.5,618.0,21.11,2.0,0
43.0,10.34,498.0,16.42,0.0,0
56.0,8.92,549.0,3.05,1.0,0
42.0,3.27,683.0,8.19,1.0,1
54.0,12.18,722.0,15.2,0.0,0
48.0,2.57,650.0,17.55,4.0,0
21.0,15.15,670.0,13.07,0.0,0
59.0,4.82,821.0,,1.0,1
22.0,11.56,565.0,15.13,2.0,0
40.0,6.27,734.0,6.99,1.0,1
30.0,10.74,632.0,,-1.0,1
48.0,11.65,528.0,19.87,0.0,0
35.0,1.9,607.0,22.63,1.0,0
27.0,8.17,757.0,8.77,1.0,0
62.0,6.0,748.0,15.9,3.0,0
34.0,,542.0,8.64,2.0,0
33.0,10.02,727.0,3.85,1.0,0
42.0,16.76,630.0,11.7,2.0,0
37.0,5.15,618.0,7.79,1.0,1
56.0,6.4,664.0,18.79,,0
23.0,5.65,742.0,23.89,2.0,0
43.0,12.43,664.0,12.79,2.0,1
,5.93,635.0,9.38,0.0,1
54.0,12.91,1154.0,22.02,1.0,0
51.0,11.99,681.0,27.2,1.0,1
59.0,8.38,523.0,7.34,0.0,0
55.0,7.18,638.0,6.16,3.0,0
55.0,9.58,569.0,8.58,0.0,1
,6.66,621.0,12.07,1.0,1
31.0,8.12,783.0,12.34,2.0,1
49.0,11.48,791.0,5.48,0.0,0
53.0,7.91,531.0,10.92,,0
52.0,3.85,591.0,12.89,0.0,0
61.0,6.01,559.0,,0.0,0
52.0,13.4,762.0,13.21,0.0,0
35.0,7.42,720.0,12.82,2.0,1
33.0,11.05,628.0,18.7,5.0,1
24.0,12.37,726.0,7.0,0.0,1
22.0,1.5,555.0,7.54,0.0,1
60.0,,650.0,15.25,1.0,1
62.0,4.3,658.0,2.15,2.0,1
59.0,8.13,572.0,10.5,2.0,0
34.0,6.94,,18.84,1.0,0
59.0,7.04,,9.42,0.0,0
28.0,6.56,723.0,6.33,1.0,0
61.0,6.94,414.0,7.56,1.0,1
63.0,9.76,662.0,19.37,2.0,0
43.0,8.57,734.0,10.78,0.0,0
33.0,6.24,576.0,11.84,1.0,0
51.0,9.64,665.0,12.19,1.0,1
44.0,9.07,649.0,17.41,0.0,0
43.0,11.28,495.0,11.74,1.0,0
47.0,14.02,745.0,11.06,0.0,1
57.0,8.59,642.0,15.3,2.0,1
35.0,4.69,670.0,10.92,1.0,1
35.0,14.36,493.0,15.92,2.0,0
33.0,,582.0,9.08,3.0,0
38.0,5.59,648.0,17.86,0.0,0
21.0,6.03,674.0,10.79,2.0,0
60.0,9.54,598.0,7.09,0.0,0
49.0,,498.0,5.94,0.0,0
29.0,5.95,819.0,4.94,0.0,0
49.0,10.28,695.0,3.57,1.0,0
24.0,8.96,772.0,12.64,1.0,0
29.0,8.44,413.0,12.52,3.0,0
60.0,12.06,805.0,19.53,1.0,0
50.0,8.78,755.0,14.51,1.0,1
60.0,11.01,783.0,8.81,0.0,1
57.0,14.19,775.0,8.5,0.0,1
30.0,9.85,617.0,17.24,2.0,0
37.0,9.28,635.0,14.32,1.0,1
34.0,,621.0,12.36,0.0,0
46.0,7.1,737.0,17.29,1.0,0
-9.0,7.44,597.0,14.0,,0
38.0,10.17,599.0,1.0,5.0,1
45.0,14.46,748.0,6.22,0.0,0
26.0,10.33,741.0,15.94,1.0,1
37.0,8.85,595.0,6.85,2.0,0
36.0,15.82,787.0,10.68,,1
44.0,5.48,661.0,16.95,2.0,0
21.0,9.79,656.0,12.28,4.0,0
33.0,7.22,706.0,7.68,3.0,0
23.0,10.03,660.0,12.25,3.0,1
56.0,10.28,640.0,8.88,1.0,0
59.0,7.26,542.0,10.17,4.0,1
64.0,9.16,718.0,5.43,1.0,0
30.0,4.42,605.0,5.62,-2.0,0
48.0,10.45,589.0,10.31,0.0,0
23.0,6.04,529.0,4.19,0.0,1
28.0,5.47,572.0,9.19,1.0,0
55.0,12.03,614.0,1.0,3.0,0
45.0,14.06,663.0,7.57,0.0,0
21.0,5.42,655.0,11.57,1.0,0
,10.77,540.0,13.18,3.0,0
46.0,13.06,673.0,7.14,1.0,1
60.0,12.45,634.0,13.29,1.0,1
40.0,9.52,842.0,5.99,1.0,1
59.0,2.09,737.0,15.65,2.0,0
38.0,5.92,601.0,19.36,1.0,0
44.0,7.37,715.0,9.69,,1
51.0,9.91,678.0,9.81,0.0,0
25.0,3.75,533.0,8.3,2.0,0
46.0,111.28828985819173,537.0,9.78,0.0,0
64.0,11.86,723.0,8.13,2.0,0
45.0,6.34,716.0,14.05,0.0,0
57.0,8.52,623.0,13.36,2.0,1
42.0,4.61,840.0,12.23,0.0,0
22.0,11.64,805.0,10.93,2.0,1
46.0,13.41,763.0,1.0,2.0,0
29.0,8.51,707.0,16.5,0.0,0
51.0,9.45,680.0,12.41,1.0,1
53.0,11.61,825.0,18.64,0.0,1
29.0,13.79,614.0,15.99,1.0,0
24.0,8.17,-41.0,17.5,0.0,0
57.0,2.54,717.0,5.96,0.0,0
24.0,7.83,688.0,14.29,4.0,0
43.0,6.68,594.0,14.71,1.0,0
29.0,-0.77,577.0,8.15,0.0,0
23.0,14.08,658.0,,,1
27.0,2.58,569.0,3.31,0.0,0
25.0,4.9,748.0,7.23,1.0,0
39.0,6.3,577.0,9.26,1.0,0
60.0,13.05,652.0,16.09,1.0,1
35.0,8.93,550.0,17.93,3.0,0
195.0,,674.0,14.09,2.0,-1
60.0,2.85,418.0,20.25,1.0,0
45.0,1.5,704.0,5.36,0.0,1
46.0,11.96,,8.11,4.0,1
23.0,9.87,715.0,8.52,1.0,1
39.0,9.96,673.0,,1.0,0
-8.0,15.9,702.0,14.16,0.0,1
44.0,7.87,604.0,3.71,1.0,1
34.0,,647.0,26.0,2.0,0
45.0,3.33,590.0,9.43,1.0,0
36.0,7.9,782.0,,2.0,1
48.0,11.07,591.0,7.74,3.0,0
56.0,15.67,,12.99,1.0,1
58.0,9.72,607.0,11.62,0.0,1
34.0,9.65,680.0,5.82,0.0,0
52.0,,752.0,17.53,2.0,1
41.0,7.92,554.0,23.2,,0
50.0,14.27,,7.41,0.0,1
34.0,148.95883565732868,585.0,9.77,1.0,1
59.0,4.7,822.0,15.39,0.0,0
54.0,3.32,672.0,20.61,0.0,0
43.0,11.81,646.0,14.07,1.0,1
43.0,5.45,750.0,12.06,1.0,1
33.0,1.5,869.0,16.14,1.0,0
44.0,,891.0,10.29,1.0,1
52.0,6.35,641.0,9.8,1.0,0
63.0,10.57,659.0,13.91,1.0,1
43.0,1.5,609.0,7.19,2.0,0
42.0,12.0,593.0,12.39,2.0,0
57.0,,782.0,16.23,1.0,0
23.0,3.51,608.0,10.57,0.0,1
48.0,3.93,773.0,22.08,,0
53.0,2.75,640.0,10.42,1.0,0
28.0,6.99,555.0,17.5,3.0,1
34.0,6.32,616.0,5.93,0.0,0
29.0,15.01,781.0,23.3,2.0,1
34.0,11.03,688.0,6.39,1.0,0
37.0,8.65,743.0,21.99,1.0,1
36.0,11.94,559.0,1.0,1.0,1
53.0,8.62,678.0,6.02,1.0,0
23.0,7.17,660.0,229.23498490724376,3.0,0
22.0,3.23,619.0,17.19,0.0,0
48.0,4.1,1027.0,5.44,0.0,0
64.0,,657.0,11.66,1.0,0
54.0,15.45,582.0,11.63,0.0,1
55.0,9.62,758.0,15.82,1.0,1
31.0,12.59,879.0,16.35,3.0,1
40.0,9.66,756.0,7.9,2.0,1
61.0,1.5,582.0,11.96,2.0,0
35.0,4.71,750.0,7.25,2.0,0
24.0,11.01,421.0,3.7,0.0,1
53.0,7.6,789.0,1.98,2.0,0
57.0,14.0,604.0,16.19,1.0,0
62.0,4.85,679.0,17.04,0.0,1
33.0,7.14,678.0,15.37,1.0,0
,4.22,698.0,13.36,-2.0,0
35.0,6.47,707.0,15.84,0.0,1
47.0,9.77,681.0,7.48,1.0,1
56.0,5.92,682.0,14.54,0.0,0
57.0,10.04,654.0,6.08,1.0,0
-2.0,11.99,681.0,27.2,1.0,1
25.0,1.5,790.0,6.61,0.0,0
41.0,5.89,513.0,13.92,2.0,0
43.0,10.21,662.0,24.69,0.0,0
,6.78,574.0,3.58,0.0,1
49.0,,709.0,,0.0,1
47.0,6.62,685.0,6.77,1.0,0
61.0,6.12,634.0,,2.0,0
29.0,5.49,507.0,16.88,3.0,0
56.0,1.5,573.0,7.13,5.0,0
26.0,10.15,645.0,9.48,,0
53.0,5.19,795.0,14.7,2.0,1
59.0,17.08,678.0,19.54,1.0,1
28.0,2.02,519.0,13.21,0.0,0
,2.64,614.0,19.39,2.0,0
62.0,14.92,723.0,11.79,0.0,1
28.0,8.14,840.0,20.38,2.0,1
33.0,3.53,667.0,13.58,,0
21.0,8.96,656.0,16.78,2.0,1
57.0,8.61,417.0,7.27,2.0,0
55.0,6.43,552.0,17.75,0.0,1
56.0,13.98,,7.03,0.0,1
40.0,4.93,775.0,20.09,0.0,0
60.0,11.01,783.0,8.81,0.0,1
31.0,5.56,727.0,21.97,3.0,0
57.0,13.62,659.0,11.5,3.0,0
62.0,2.22,715.0,24.14,0.0,0
56.0,3.51,716.0,10.68,0.0,1
8.0,8.72,681.0,17.78,2.0,1
25.0,10.48,696.0,7.62,1.0,1
